match_id,team,opponent,venue,first_half_rate,second_half_rate,league
3825828,Atlético Madrid,Espanyol,Away,0.7727272727272727,0.43859649122807015,La Liga
3825827,Real Betis,Levante UD,Home,0.7333333333333333,0.75,La Liga
3825827,Levante UD,Real Betis,Away,0.6666666666666666,1.3255813953488371,La Liga
3825826,Granada,Málaga,Home,0.6046511627906976,0.94,La Liga
3825826,Málaga,Granada,Away,0.7111111111111111,0.4482758620689655,La Liga
3825825,Levante UD,Sporting Gijón,Home,1.0377358490566038,1.14,La Liga
3825825,Sporting Gijón,Levante UD,Away,0.5178571428571429,0.5714285714285714,La Liga
3825824,Eibar,Villarreal,Home,1.2295081967213115,0.9473684210526315,La Liga
3825824,Villarreal,Eibar,Away,0.5102040816326531,0.746031746031746,La Liga
3825823,Sevilla,Real Sociedad,Home,0.94,0.8541666666666666,La Liga
3825823,Real Sociedad,Sevilla,Away,0.6538461538461539,0.6461538461538462,La Liga
3825905,Málaga,Espanyol,Home,1.173913043478261,1.2291666666666667,La Liga
3825905,Espanyol,Málaga,Away,0.7058823529411765,0.6078431372549019,La Liga
3825822,Las Palmas,Valencia,Home,1.205128205128205,0.9583333333333334,La Liga
3825822,Valencia,Las Palmas,Away,1.3035714285714286,1.490909090909091,La Liga
3825821,Espanyol,Athletic Club,Home,0.7555555555555555,0.631578947368421,La Liga
3825821,Athletic Club,Espanyol,Away,0.7636363636363637,0.9743589743589743,La Liga
3825820,Real Madrid,Sevilla,Home,0.5384615384615384,0.6041666666666666,La Liga
3825820,Sevilla,Real Madrid,Away,0.5121951219512195,0.8,La Liga
3825819,Valencia,Celta Vigo,Home,1.1923076923076923,1.4375,La Liga
3825819,Celta Vigo,Valencia,Away,0.9615384615384616,0.6923076923076923,La Liga
3825818,Real Sociedad,Las Palmas,Home,0.9821428571428571,1.2790697674418605,La Liga
3825818,Las Palmas,Real Sociedad,Away,0.5098039215686274,0.5573770491803278,La Liga
3825887,Granada,Rayo Vallecano,Home,0.8260869565217391,0.6730769230769231,La Liga
3825887,Rayo Vallecano,Granada,Away,1.146341463414634,0.868421052631579,La Liga
3825907,Sporting Gijón,Atlético Madrid,Home,1.1764705882352942,1.45,La Liga
3825907,Atlético Madrid,Sporting Gijón,Away,0.7727272727272727,0.5769230769230769,La Liga
3825903,Real Betis,Málaga,Home,1.1428571428571428,1.0888888888888888,La Liga
3825903,Málaga,Real Betis,Away,0.8805970149253731,0.8695652173913043,La Liga
3825816,Sevilla,Villarreal,Home,0.75,0.7142857142857143,La Liga
3825816,Villarreal,Sevilla,Away,0.7659574468085106,0.9166666666666666,La Liga
3825815,Levante UD,Valencia,Home,1.0,1.2291666666666667,La Liga
3825815,Valencia,Levante UD,Away,0.9629629629629629,0.5636363636363636,La Liga
3825858,Rayo Vallecano,Eibar,Home,0.66,0.4339622641509434,La Liga
3825858,Eibar,Rayo Vallecano,Away,0.9655172413793104,0.8518518518518519,La Liga
3825813,Atlético Madrid,RC Deportivo La Coruña,Home,0.8809523809523809,0.7083333333333334,La Liga
3825813,RC Deportivo La Coruña,Atlético Madrid,Away,0.6444444444444445,0.6538461538461539,La Liga
3825814,Celta Vigo,Real Sociedad,Home,0.85,0.5245901639344263,La Liga
3825814,Real Sociedad,Celta Vigo,Away,0.9795918367346939,0.8,La Liga
3825812,Málaga,Sporting Gijón,Home,1.0731707317073171,0.20967741935483872,La Liga
3825812,Sporting Gijón,Málaga,Away,1.0576923076923077,0.7708333333333334,La Liga
3825811,Espanyol,Rayo Vallecano,Home,1.0392156862745099,0.98,La Liga
3825811,Rayo Vallecano,Espanyol,Away,1.1904761904761905,0.8,La Liga
3825807,Valencia,Atlético Madrid,Home,0.6111111111111112,0.82,La Liga
3825807,Atlético Madrid,Valencia,Away,1.0384615384615385,1.025,La Liga
3825809,Real Betis,Granada,Home,1.2325581395348837,0.5121951219512195,La Liga
3825809,Granada,Real Betis,Away,0.6363636363636364,0.7027027027027027,La Liga
3825810,Real Sociedad,Levante UD,Home,1.309090909090909,0.9019607843137255,La Liga
3825810,Levante UD,Real Sociedad,Away,0.328125,0.48214285714285715,La Liga
